time,phase,joint,joint_state_position,controller_actual,controller_desired,controller_error,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
1780232839.017784,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.067826,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.1313205,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.1934123,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.2472434,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.3140373,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.3840878,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.4472935,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.4989462,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.552855,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.606107,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.6580942,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.7127979,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.7653396,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.818164,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.871619,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.925351,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232839.9804597,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.0326192,before,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.0415313,moving,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.0919785,moving,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.1456006,moving,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.1965144,moving,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.2483752,moving,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.2992892,moving,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.3520212,moving,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.4038846,moving,Joint6,0.0,0.0,0.0,0.0,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.4575026,moving,Joint6,0.0,0.0,0.0002204661069252439,0.0002204661069252439,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.5107343,moving,Joint6,0.0,0.0,0.0002204661069252439,0.0002204661069252439,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.562976,moving,Joint6,0.0,0.0,0.0002204661069252439,0.0002204661069252439,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.6163785,moving,Joint6,0.0,0.0,0.0009142997879077475,0.0009142997879077475,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.6704974,moving,Joint6,0.0,0.0,0.0009142997879077475,0.0009142997879077475,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.7221165,moving,Joint6,0.0,0.0,0.0009142997879077475,0.0009142997879077475,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.7738874,moving,Joint6,0.0,0.0,0.0020427526722303817,0.0020427526722303817,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.827001,moving,Joint6,0.0,0.0,0.0020427526722303817,0.0020427526722303817,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.878039,moving,Joint6,0.0,0.0,0.0020427526722303817,0.0020427526722303817,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.9302933,moving,Joint6,0.0,0.0,0.003321981202382497,0.003321981202382497,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232840.9832013,moving,Joint6,0.0,0.0,0.003321981202382497,0.003321981202382497,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.0345042,moving,Joint6,0.0,0.0,0.003321981202382497,0.003321981202382497,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.0869167,moving,Joint6,0.0,0.0,0.005052428428936955,0.005052428428936955,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.1398313,moving,Joint6,0.0,0.0,0.005052428428936955,0.005052428428936955,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.19088,moving,Joint6,0.0,0.0,0.005052428428936955,0.005052428428936955,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.2429123,moving,Joint6,0.0,0.0,0.006901044042522426,0.006901044042522426,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.2949064,moving,Joint6,0.0,0.0,0.006901044042522426,0.006901044042522426,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.3458476,moving,Joint6,0.0,0.0,0.006901044042522426,0.006901044042522426,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.397679,moving,Joint6,0.0,0.0,0.00905267671436782,0.00905267671436782,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.452178,moving,Joint6,0.0,0.0,0.00905267671436782,0.00905267671436782,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.5039113,moving,Joint6,0.0,0.0,0.00905267671436782,0.00905267671436782,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.5569253,moving,Joint6,0.0,0.0,0.011199572732587438,0.011199572732587438,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.6095352,moving,Joint6,0.0,0.0,0.011199572732587438,0.011199572732587438,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.660817,moving,Joint6,0.0,0.0,0.011199572732587438,0.011199572732587438,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.715672,moving,Joint6,0.0,0.0,0.013600257327752328,0.013600257327752328,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.7701294,moving,Joint6,0.0,0.0,0.013600257327752328,0.013600257327752328,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.8215413,moving,Joint6,0.0,0.0,0.013600257327752328,0.013600257327752328,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.8755405,moving,Joint6,0.0,0.0,0.015908279939108854,0.015908279939108854,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.9283898,moving,Joint6,0.0,0.0,0.015908279939108854,0.015908279939108854,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232841.9796073,moving,Joint6,0.0,0.0,0.015908279939108854,0.015908279939108854,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.0333834,moving,Joint6,0.0,0.0,0.01832413305234583,0.01832413305234583,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.0895264,moving,Joint6,0.0,0.0,0.01832413305234583,0.01832413305234583,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.1414075,moving,Joint6,0.0,0.0,0.01832413305234583,0.01832413305234583,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.1945107,moving,Joint6,0.0,0.0,0.020682092234920277,0.020682092234920277,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.2493055,moving,Joint6,0.0,0.0,0.020682092234920277,0.020682092234920277,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.3006897,moving,Joint6,0.0,0.0,0.020682092234920277,0.020682092234920277,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.3527434,moving,Joint6,0.0,0.0,0.022882183678051046,0.022882183678051046,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.4051285,moving,Joint6,0.0,0.0,0.022882183678051046,0.022882183678051046,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.456137,moving,Joint6,0.0,0.0,0.022882183678051046,0.022882183678051046,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.5089483,moving,Joint6,0.0,0.0,0.024680273074061985,0.024680273074061985,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.5617695,moving,Joint6,0.0,0.0,0.024680273074061985,0.024680273074061985,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.613153,moving,Joint6,0.0,0.0,0.024680273074061985,0.024680273074061985,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.665505,moving,Joint6,0.0,0.0,0.026470397615480496,0.026470397615480496,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.7178574,moving,Joint6,0.0,0.0,0.026470397615480496,0.026470397615480496,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.7688293,moving,Joint6,0.0,0.0,0.026470397615480496,0.026470397615480496,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.8212032,moving,Joint6,0.0,0.0,0.027852964472870764,0.027852964472870764,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.873327,moving,Joint6,0.0,0.0,0.027852964472870764,0.027852964472870764,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.924347,moving,Joint6,0.0,0.0,0.027852964472870764,0.027852964472870764,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232842.976521,moving,Joint6,0.0,0.0,0.028993815029903232,0.028993815029903232,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.0284817,moving,Joint6,0.0,0.0,0.028993815029903232,0.028993815029903232,0.0,0.1089,0.6703,0.0,-1.4174,0.0
1780232843.0794249,moving,Joint6,0.0,0.0,0.028993815029903232,0.028993815029903232,0.0,0.1089,0.6703,0.0,-1.4174,0.0
