sample,elapsed_s,ros_stamp_sec,ros_stamp_nanosec,connected,homed,raw_position_i32,raw_position_u16,raw_position_hex,position_in_turn_12bit,raw_signed16,delta_in_turn,turn_delta_total,node_relative_ticks,moving,load_raw,current_raw,voltage_v,temperature_c,fault
0,0.048833,1780554785,410982737,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
1,0.147735,1780554785,510123481,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
2,0.248634,1780554785,611005998,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
3,0.348211,1780554785,710597187,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
4,0.505929,1780554785,867990317,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
5,0.961497,1780554786,323670220,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
6,1.216206,1780554786,578319566,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
7,1.347094,1780554786,709314769,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
8,1.361834,1780554786,724156053,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
9,1.451023,1780554786,813029831,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
10,1.549208,1780554786,911170810,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
11,1.649123,1780554787,11415322,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,1,12.100,32,
12,1.748156,1780554787,110469447,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
13,1.848815,1780554787,210867918,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
14,1.950887,1780554787,312786757,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
15,2.048683,1780554787,410858205,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
16,2.148542,1780554787,510922848,True,False,32770,32770,0x8002,2,-32766,0,0,0,False,24,0,12.100,32,
