sample,elapsed_s,ros_stamp_sec,ros_stamp_nanosec,connected,homed,raw_position_i32,raw_position_u16,raw_position_hex,position_in_turn_12bit,raw_signed16,delta_in_turn,turn_delta_total,node_relative_ticks,target_position,position_error_direction,position_error_ticks,estimated_position_minus,estimated_position_plus,moving,load_raw,current_raw,voltage_v,temperature_c,fault
0,0.034980,1780561289,779748931,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
1,0.136272,1780561289,880960461,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
2,0.237307,1780561289,981890320,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,33,
3,0.333887,1780561290,78880729,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
4,0.432704,1780561290,177674053,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
5,0.534933,1780561290,279934626,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
6,0.633576,1780561290,378529650,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
7,0.736625,1780561290,481493003,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
8,0.878445,1780561290,623118408,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
9,0.953506,1780561290,697693081,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
10,1.049410,1780561290,794398713,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
11,1.183596,1780561290,928386165,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
12,1.320042,1780561291,64805668,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
13,1.481299,1780561291,225874884,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
14,1.602368,1780561291,347390989,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
15,1.654876,1780561291,399629794,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
16,1.681734,1780561291,426368146,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
17,1.741435,1780561291,486333913,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
18,1.840953,1780561291,585880543,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
19,1.936630,1780561291,681549883,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
20,2.035509,1780561291,780283634,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
21,2.136902,1780561291,881925721,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
22,2.235065,1780561291,979684210,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
23,2.333688,1780561292,78549963,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
24,2.432782,1780561292,177543600,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
25,2.532552,1780561292,277562490,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
26,2.634273,1780561292,379254981,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
27,2.756818,1780561292,501580327,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
28,2.839618,1780561292,584312511,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,34,
29,2.939791,1780561292,684580197,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
30,3.526413,1780561293,271085727,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
31,3.783906,1780561293,528870770,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
32,3.835403,1780561293,580115295,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
33,3.868527,1780561293,613351076,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
34,3.936744,1780561293,681638051,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
35,4.034391,1780561293,779355014,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
36,4.134309,1780561293,879084449,True,True,0,0,0x0000,0,0,0,0,0,3995,False,0,3995,3995,False,0,0,12.100,32,
