sample,elapsed_s,ros_stamp_sec,ros_stamp_nanosec,connected,homed,raw_position_i32,raw_position_u16,raw_position_hex,position_in_turn_12bit,raw_signed16,delta_in_turn,turn_delta_total,node_relative_ticks,target_position,position_error_direction,position_error_ticks,estimated_position_minus,estimated_position_plus,moving,load_raw,current_raw,voltage_v,temperature_c,fault
0,0.644330,1780665633,359867765,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
1,0.797886,1780665633,513834175,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
2,0.840862,1780665633,556769994,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
3,0.992079,1780665633,707684270,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
4,1.117849,1780665633,833623432,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
5,1.212116,1780665633,928142059,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
6,1.342858,1780665634,58265124,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
7,1.405851,1780665634,121839176,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
8,1.427175,1780665634,143069447,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
9,1.496573,1780665634,212482053,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
10,1.596036,1780665634,312109584,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
11,1.695688,1780665634,411743524,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
12,1.797423,1780665634,513140465,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
13,1.892143,1780665634,608427818,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
14,1.997068,1780665634,713132725,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
15,2.096342,1780665634,811761027,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
16,2.197350,1780665634,913118749,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
17,2.294005,1780665635,10180974,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
18,2.396624,1780665635,112522910,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
19,2.508430,1780665635,223285546,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
20,2.635077,1780665635,349959000,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
21,2.748306,1780665635,464150337,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
22,2.807785,1780665635,523809469,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
23,3.192453,1780665635,908487699,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
24,3.258030,1780665635,974028572,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
25,3.310468,1780665636,26409011,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
26,3.403712,1780665636,118672973,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
27,3.503208,1780665636,218032256,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
28,3.594338,1780665636,310311949,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
29,3.697428,1780665636,412608962,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
30,3.803055,1780665636,517950551,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
31,3.908160,1780665636,623293100,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
32,4.003462,1780665636,718651821,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
33,4.096502,1780665636,812869887,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
34,4.192860,1780665636,908544357,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
35,4.295709,1780665637,11991336,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
36,4.438600,1780665637,154207815,True,True,32769,32769,0x8001,1,-32767,0,0,3454,4593,True,1,4592,4594,False,0,0,12.200,38,
